id,greetings
1,I'm without you like java without jdk
2,I 01101100 01101111 01110110 01100101 You
3,Hugs & kisses to you this Valentine’s Day!
4,My love for you has no bugs
5,❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️
6,while(true){ love(you) }
7,for(; ;) { hugs(you) }
8,I love you more than kitten videos
9,My heart is happy because you’re in it.
10,do { love++; } while (alive);
11,Happy Valentine’s Day!
12,I love you every single bit
13,I love you more than sout in java
14,I miss you every line of code
